street;date;consumption_kwh_per_minute
222 Orange Avenue;2006-12-16;0.05717
223 Cherry Lane;2006-12-16;0.05717
224 Grape Street;2006-12-16;0.05717
225 Banana Boulevard;2006-12-16;0.05717
221 Apple Lane;2006-12-16;0.05443
222 Orange Avenue;2006-12-16;0.05443
223 Cherry Lane;2006-12-16;0.05443
224 Grape Street;2006-12-16;0.05443
225 Banana Boulevard;2006-12-16;0.05443
221 Apple Lane;2006-12-16;0.06213
222 Orange Avenue;2006-12-16;0.06213
223 Cherry Lane;2006-12-16;0.06213
224 Grape Street;2006-12-16;0.06213
225 Banana Boulevard;2006-12-16;0.06213
221 Apple Lane;2006-12-16;0.09823
222 Orange Avenue;2006-12-16;0.09823
223 Cherry Lane;2006-12-16;0.09823
224 Grape Street;2006-12-16;0.09823
225 Banana Boulevard;2006-12-16;0.09823
221 Apple Lane;2006-12-16;0.12843
222 Orange Avenue;2006-12-16;0.12843
223 Cherry Lane;2006-12-16;0.12843
224 Grape Street;2006-12-16;0.12843
225 Banana Boulevard;2006-12-16;0.12843
221 Apple Lane;2006-12-16;0.1171
222 Orange Avenue;2006-12-16;0.1171
223 Cherry Lane;2006-12-16;0.1171
224 Grape Street;2006-12-16;0.1171
225 Banana Boulevard;2006-12-16;0.1171
221 Apple Lane;2006-12-16;0.08623
222 Orange Avenue;2006-12-16;0.08623
223 Cherry Lane;2006-12-16;0.08623
224 Grape Street;2006-12-16;0.08623
225 Banana Boulevard;2006-12-16;0.08623
221 Apple Lane;2006-12-16;0.07457
222 Orange Avenue;2006-12-16;0.07457
223 Cherry Lane;2006-12-16;0.07457
224 Grape Street;2006-12-16;0.07457
225 Banana Boulevard;2006-12-16;0.07457
221 Apple Lane;2006-12-16;0.05413
222 Orange Avenue;2006-12-16;0.05413
223 Cherry Lane;2006-12-16;0.05413
224 Grape Street;2006-12-16;0.05413
225 Banana Boulevard;2006-12-16;0.05413
221 Apple Lane;2006-12-16;0.05393
222 Orange Avenue;2006-12-16;0.05393
223 Cherry Lane;2006-12-16;0.05393
224 Grape Street;2006-12-16;0.05393
225 Banana Boulevard;2006-12-16;0.05393
221 Apple Lane;2006-12-16;0.0538
222 Orange Avenue;2006-12-16;0.0538
223 Cherry Lane;2006-12-16;0.0538
224 Grape Street;2006-12-16;0.0538
225 Banana Boulevard;2006-12-16;0.0538
221 Apple Lane;2006-12-16;0.0543
222 Orange Avenue;2006-12-16;0.0543
223 Cherry Lane;2006-12-16;0.0543
224 Grape Street;2006-12-16;0.0543
225 Banana Boulevard;2006-12-16;0.0543
221 Apple Lane;2006-12-16;0.05297
222 Orange Avenue;2006-12-16;0.05297
223 Cherry Lane;2006-12-16;0.05297
224 Grape Street;2006-12-16;0.05297
225 Banana Boulevard;2006-12-16;0.05297
221 Apple Lane;2006-12-16;0.04533
222 Orange Avenue;2006-12-16;0.04533
223 Cherry Lane;2006-12-16;0.04533
224 Grape Street;2006-12-16;0.04533
225 Banana Boulevard;2006-12-16;0.04533
221 Apple Lane;2006-12-16;0.06263
222 Orange Avenue;2006-12-16;0.06263
223 Cherry Lane;2006-12-16;0.06263
224 Grape Street;2006-12-16;0.06263
225 Banana Boulevard;2006-12-16;0.06263
221 Apple Lane;2006-12-16;0.07237
222 Orange Avenue;2006-12-16;0.07237
223 Cherry Lane;2006-12-16;0.07237
224 Grape Street;2006-12-16;0.07237
225 Banana Boulevard;2006-12-16;0.07237
221 Apple Lane;2006-12-16;0.0752
222 Orange Avenue;2006-12-16;0.0752
223 Cherry Lane;2006-12-16;0.0752
224 Grape Street;2006-12-16;0.0752
225 Banana Boulevard;2006-12-16;0.0752
221 Apple Lane;2006-12-16;0.06763
222 Orange Avenue;2006-12-16;0.06763
223 Cherry Lane;2006-12-16;0.06763
224 Grape Street;2006-12-16;0.06763
225 Banana Boulevard;2006-12-16;0.06763
221 Apple Lane;2006-12-16;0.0412
222 Orange Avenue;2006-12-16;0.0412
223 Cherry Lane;2006-12-16;0.0412
224 Grape Street;2006-12-16;0.0412
225 Banana Boulevard;2006-12-16;0.0412
221 Apple Lane;2006-12-16;0.0465
222 Orange Avenue;2006-12-16;0.0465
223 Cherry Lane;2006-12-16;0.0465
224 Grape Street;2006-12-16;0.0465
225 Banana Boulevard;2006-12-16;0.0465
221 Apple Lane;2006-12-16;0.04373
222 Orange Avenue;2006-12-16;0.04373
223 Cherry Lane;2006-12-16;0.04373
224 Grape Street;2006-12-16;0.04373
225 Banana Boulevard;2006-12-16;0.04373
221 Apple Lane;2006-12-16;0.0462
222 Orange Avenue;2006-12-16;0.0462
223 Cherry Lane;2006-12-16;0.0462
224 Grape Street;2006-12-16;0.0462
225 Banana Boulevard;2006-12-16;0.0462
221 Apple Lane;2006-12-16;0.06233
222 Orange Avenue;2006-12-16;0.06233
223 Cherry Lane;2006-12-16;0.06233
224 Grape Street;2006-12-16;0.06233
225 Banana Boulevard;2006-12-16;0.06233
221 Apple Lane;2006-12-16;0.08213
222 Orange Avenue;2006-12-16;0.08213
223 Cherry Lane;2006-12-16;0.08213
224 Grape Street;2006-12-16;0.08213
225 Banana Boulevard;2006-12-16;0.08213
221 Apple Lane;2006-12-16;0.10087
222 Orange Avenue;2006-12-16;0.10087
223 Cherry Lane;2006-12-16;0.10087
224 Grape Street;2006-12-16;0.10087
225 Banana Boulevard;2006-12-16;0.10087
221 Apple Lane;2006-12-16;0.11253
222 Orange Avenue;2006-12-16;0.11253
223 Cherry Lane;2006-12-16;0.11253
224 Grape Street;2006-12-16;0.11253
225 Banana Boulevard;2006-12-16;0.11253
221 Apple Lane;2006-12-16;0.1079
222 Orange Avenue;2006-12-16;0.1079
223 Cherry Lane;2006-12-16;0.1079
224 Grape Street;2006-12-16;0.1079
225 Banana Boulevard;2006-12-16;0.1079
221 Apple Lane;2006-12-16;0.10513
222 Orange Avenue;2006-12-16;0.10513
223 Cherry Lane;2006-12-16;0.10513
224 Grape Street;2006-12-16;0.10513
225 Banana Boulevard;2006-12-16;0.10513
221 Apple Lane;2006-12-16;0.0744
222 Orange Avenue;2006-12-16;0.0744
223 Cherry Lane;2006-12-16;0.0744
224 Grape Street;2006-12-16;0.0744
225 Banana Boulevard;2006-12-16;0.0744
221 Apple Lane;2006-12-16;0.0566
222 Orange Avenue;2006-12-16;0.0566
223 Cherry Lane;2006-12-16;0.0566
224 Grape Street;2006-12-16;0.0566
225 Banana Boulevard;2006-12-16;0.0566
221 Apple Lane;2006-12-16;0.0515
222 Orange Avenue;2006-12-16;0.0515
223 Cherry Lane;2006-12-16;0.0515
224 Grape Street;2006-12-16;0.0515
225 Banana Boulevard;2006-12-16;0.0515
221 Apple Lane;2006-12-16;0.06217
222 Orange Avenue;2006-12-16;0.06217
223 Cherry Lane;2006-12-16;0.06217
224 Grape Street;2006-12-16;0.06217
225 Banana Boulevard;2006-12-16;0.06217
221 Apple Lane;2006-12-16;0.03847
222 Orange Avenue;2006-12-16;0.03847
223 Cherry Lane;2006-12-16;0.03847
224 Grape Street;2006-12-16;0.03847
225 Banana Boulevard;2006-12-16;0.03847
221 Apple Lane;2006-12-16;0.0398
222 Orange Avenue;2006-12-16;0.0398
223 Cherry Lane;2006-12-16;0.0398
224 Grape Street;2006-12-16;0.0398
225 Banana Boulevard;2006-12-16;0.0398
221 Apple Lane;2006-12-16;0.07663
222 Orange Avenue;2006-12-16;0.07663
223 Cherry Lane;2006-12-16;0.07663
224 Grape Street;2006-12-16;0.07663
225 Banana Boulevard;2006-12-16;0.07663
221 Apple Lane;2006-12-16;0.0754
222 Orange Avenue;2006-12-16;0.0754
223 Cherry Lane;2006-12-16;0.0754
224 Grape Street;2006-12-16;0.0754
225 Banana Boulevard;2006-12-16;0.0754
221 Apple Lane;2006-12-16;0.07003
222 Orange Avenue;2006-12-16;0.07003
223 Cherry Lane;2006-12-16;0.07003
224 Grape Street;2006-12-16;0.07003
225 Banana Boulevard;2006-12-16;0.07003
221 Apple Lane;2006-12-16;0.07453
222 Orange Avenue;2006-12-16;0.07453
223 Cherry Lane;2006-12-16;0.07453
224 Grape Street;2006-12-16;0.07453
225 Banana Boulevard;2006-12-16;0.07453
221 Apple Lane;2006-12-16;0.04753
222 Orange Avenue;2006-12-16;0.04753
223 Cherry Lane;2006-12-16;0.04753
224 Grape Street;2006-12-16;0.04753
225 Banana Boulevard;2006-12-16;0.04753
221 Apple Lane;2006-12-16;0.0488
222 Orange Avenue;2006-12-16;0.0488
223 Cherry Lane;2006-12-16;0.0488
224 Grape Street;2006-12-16;0.0488
225 Banana Boulevard;2006-12-16;0.0488
221 Apple Lane;2006-12-16;0.049
222 Orange Avenue;2006-12-16;0.049
223 Cherry Lane;2006-12-16;0.049
224 Grape Street;2006-12-16;0.049
225 Banana Boulevard;2006-12-16;0.049
221 Apple Lane;2006-12-16;0.0489
222 Orange Avenue;2006-12-16;0.0489
223 Cherry Lane;2006-12-16;0.0489
224 Grape Street;2006-12-16;0.0489
225 Banana Boulevard;2006-12-16;0.0489
221 Apple Lane;2006-12-16;0.04877
222 Orange Avenue;2006-12-16;0.04877
223 Cherry Lane;2006-12-16;0.04877
224 Grape Street;2006-12-16;0.04877
225 Banana Boulevard;2006-12-16;0.04877
221 Apple Lane;2006-12-16;0.05753
222 Orange Avenue;2006-12-16;0.05753
223 Cherry Lane;2006-12-16;0.05753
224 Grape Street;2006-12-16;0.05753
225 Banana Boulevard;2006-12-16;0.05753
221 Apple Lane;2006-12-16;0.08117
222 Orange Avenue;2006-12-16;0.08117
223 Cherry Lane;2006-12-16;0.08117
224 Grape Street;2006-12-16;0.08117
225 Banana Boulevard;2006-12-16;0.08117
221 Apple Lane;2006-12-16;0.08113
222 Orange Avenue;2006-12-16;0.08113
223 Cherry Lane;2006-12-16;0.08113
224 Grape Street;2006-12-16;0.08113
225 Banana Boulevard;2006-12-16;0.08113
221 Apple Lane;2006-12-16;0.0811
222 Orange Avenue;2006-12-16;0.0811
223 Cherry Lane;2006-12-16;0.0811
224 Grape Street;2006-12-16;0.0811
225 Banana Boulevard;2006-12-16;0.0811
221 Apple Lane;2006-12-16;0.05293
222 Orange Avenue;2006-12-16;0.05293
223 Cherry Lane;2006-12-16;0.05293
224 Grape Street;2006-12-16;0.05293
225 Banana Boulevard;2006-12-16;0.05293
221 Apple Lane;2006-12-16;0.04867
222 Orange Avenue;2006-12-16;0.04867
223 Cherry Lane;2006-12-16;0.04867
224 Grape Street;2006-12-16;0.04867
225 Banana Boulevard;2006-12-16;0.04867
221 Apple Lane;2006-12-16;0.04883
222 Orange Avenue;2006-12-16;0.04883
223 Cherry Lane;2006-12-16;0.04883
224 Grape Street;2006-12-16;0.04883
225 Banana Boulevard;2006-12-16;0.04883
221 Apple Lane;2006-12-16;0.04853
222 Orange Avenue;2006-12-16;0.04853
223 Cherry Lane;2006-12-16;0.04853
224 Grape Street;2006-12-16;0.04853
225 Banana Boulevard;2006-12-16;0.04853
221 Apple Lane;2006-12-16;0.04347
222 Orange Avenue;2006-12-16;0.04347
223 Cherry Lane;2006-12-16;0.04347
224 Grape Street;2006-12-16;0.04347
225 Banana Boulevard;2006-12-16;0.04347
221 Apple Lane;2006-12-16;0.04523
222 Orange Avenue;2006-12-16;0.04523
223 Cherry Lane;2006-12-16;0.04523
224 Grape Street;2006-12-16;0.04523
225 Banana Boulevard;2006-12-16;0.04523
221 Apple Lane;2006-12-16;0.05897
222 Orange Avenue;2006-12-16;0.05897
223 Cherry Lane;2006-12-16;0.05897
224 Grape Street;2006-12-16;0.05897
225 Banana Boulevard;2006-12-16;0.05897
221 Apple Lane;2006-12-16;0.1012
222 Orange Avenue;2006-12-16;0.1012
223 Cherry Lane;2006-12-16;0.1012
224 Grape Street;2006-12-16;0.1012
225 Banana Boulevard;2006-12-16;0.1012
221 Apple Lane;2006-12-16;0.0756
222 Orange Avenue;2006-12-16;0.0756
223 Cherry Lane;2006-12-16;0.0756
224 Grape Street;2006-12-16;0.0756
225 Banana Boulevard;2006-12-16;0.0756
221 Apple Lane;2006-12-16;0.07347
222 Orange Avenue;2006-12-16;0.07347
223 Cherry Lane;2006-12-16;0.07347
224 Grape Street;2006-12-16;0.07347
225 Banana Boulevard;2006-12-16;0.07347
221 Apple Lane;2006-12-16;0.04853
222 Orange Avenue;2006-12-16;0.04853
223 Cherry Lane;2006-12-16;0.04853
224 Grape Street;2006-12-16;0.04853
225 Banana Boulevard;2006-12-16;0.04853
221 Apple Lane;2006-12-16;0.03877
222 Orange Avenue;2006-12-16;0.03877
223 Cherry Lane;2006-12-16;0.03877
224 Grape Street;2006-12-16;0.03877
225 Banana Boulevard;2006-12-16;0.03877
221 Apple Lane;2006-12-16;0.03773
222 Orange Avenue;2006-12-16;0.03773
223 Cherry Lane;2006-12-16;0.03773
224 Grape Street;2006-12-16;0.03773
225 Banana Boulevard;2006-12-16;0.03773
221 Apple Lane;2006-12-16;0.03783
222 Orange Avenue;2006-12-16;0.03783
223 Cherry Lane;2006-12-16;0.03783
224 Grape Street;2006-12-16;0.03783
225 Banana Boulevard;2006-12-16;0.03783
221 Apple Lane;2006-12-16;0.03763
222 Orange Avenue;2006-12-16;0.03763
223 Cherry Lane;2006-12-16;0.03763
224 Grape Street;2006-12-16;0.03763
225 Banana Boulevard;2006-12-16;0.03763
221 Apple Lane;2006-12-16;0.03647
222 Orange Avenue;2006-12-16;0.03647
223 Cherry Lane;2006-12-16;0.03647
224 Grape Street;2006-12-16;0.03647
225 Banana Boulevard;2006-12-16;0.03647
221 Apple Lane;2006-12-16;0.04963
222 Orange Avenue;2006-12-16;0.04963
223 Cherry Lane;2006-12-16;0.04963
224 Grape Street;2006-12-16;0.04963
225 Banana Boulevard;2006-12-16;0.04963
221 Apple Lane;2006-12-16;0.07
222 Orange Avenue;2006-12-16;0.07
223 Cherry Lane;2006-12-16;0.07
224 Grape Street;2006-12-16;0.07
225 Banana Boulevard;2006-12-16;0.07
221 Apple Lane;2006-12-16;0.07007
222 Orange Avenue;2006-12-16;0.07007
223 Cherry Lane;2006-12-16;0.07007
224 Grape Street;2006-12-16;0.07007
225 Banana Boulevard;2006-12-16;0.07007
221 Apple Lane;2006-12-16;0.0703
222 Orange Avenue;2006-12-16;0.0703
223 Cherry Lane;2006-12-16;0.0703
224 Grape Street;2006-12-16;0.0703
225 Banana Boulevard;2006-12-16;0.0703
221 Apple Lane;2006-12-16;0.04643
222 Orange Avenue;2006-12-16;0.04643
223 Cherry Lane;2006-12-16;0.04643
224 Grape Street;2006-12-16;0.04643
225 Banana Boulevard;2006-12-16;0.04643
221 Apple Lane;2006-12-16;0.04233
222 Orange Avenue;2006-12-16;0.04233
223 Cherry Lane;2006-12-16;0.04233
224 Grape Street;2006-12-16;0.04233
225 Banana Boulevard;2006-12-16;0.04233
221 Apple Lane;2006-12-16;0.0416
222 Orange Avenue;2006-12-16;0.0416
223 Cherry Lane;2006-12-16;0.0416
224 Grape Street;2006-12-16;0.0416
225 Banana Boulevard;2006-12-16;0.0416
221 Apple Lane;2006-12-16;0.03893
222 Orange Avenue;2006-12-16;0.03893
223 Cherry Lane;2006-12-16;0.03893
224 Grape Street;2006-12-16;0.03893
225 Banana Boulevard;2006-12-16;0.03893
221 Apple Lane;2006-12-16;0.0387
222 Orange Avenue;2006-12-16;0.0387
223 Cherry Lane;2006-12-16;0.0387
224 Grape Street;2006-12-16;0.0387
225 Banana Boulevard;2006-12-16;0.0387
221 Apple Lane;2006-12-16;0.0408
222 Orange Avenue;2006-12-16;0.0408
223 Cherry Lane;2006-12-16;0.0408
224 Grape Street;2006-12-16;0.0408
225 Banana Boulevard;2006-12-16;0.0408
221 Apple Lane;2006-12-16;0.07163
222 Orange Avenue;2006-12-16;0.07163
223 Cherry Lane;2006-12-16;0.07163
224 Grape Street;2006-12-16;0.07163
225 Banana Boulevard;2006-12-16;0.07163
221 Apple Lane;2006-12-16;0.0705
222 Orange Avenue;2006-12-16;0.0705
223 Cherry Lane;2006-12-16;0.0705
224 Grape Street;2006-12-16;0.0705
225 Banana Boulevard;2006-12-16;0.0705
221 Apple Lane;2006-12-16;0.0705
222 Orange Avenue;2006-12-16;0.0705
223 Cherry Lane;2006-12-16;0.0705
224 Grape Street;2006-12-16;0.0705
225 Banana Boulevard;2006-12-16;0.0705
221 Apple Lane;2006-12-16;0.0654
222 Orange Avenue;2006-12-16;0.0654
223 Cherry Lane;2006-12-16;0.0654
224 Grape Street;2006-12-16;0.0654
225 Banana Boulevard;2006-12-16;0.0654
221 Apple Lane;2006-12-16;0.0703
222 Orange Avenue;2006-12-16;0.0703
223 Cherry Lane;2006-12-16;0.0703
224 Grape Street;2006-12-16;0.0703
225 Banana Boulevard;2006-12-16;0.0703
221 Apple Lane;2006-12-16;0.0704
222 Orange Avenue;2006-12-16;0.0704
223 Cherry Lane;2006-12-16;0.0704
224 Grape Street;2006-12-16;0.0704
225 Banana Boulevard;2006-12-16;0.0704
221 Apple Lane;2006-12-16;0.06783
222 Orange Avenue;2006-12-16;0.06783
223 Cherry Lane;2006-12-16;0.06783
224 Grape Street;2006-12-16;0.06783
225 Banana Boulevard;2006-12-16;0.06783
221 Apple Lane;2006-12-16;0.0602
222 Orange Avenue;2006-12-16;0.0602
223 Cherry Lane;2006-12-16;0.0602
224 Grape Street;2006-12-16;0.0602
225 Banana Boulevard;2006-12-16;0.0602
221 Apple Lane;2006-12-16;0.05763
222 Orange Avenue;2006-12-16;0.05763
223 Cherry Lane;2006-12-16;0.05763
224 Grape Street;2006-12-16;0.05763
225 Banana Boulevard;2006-12-16;0.05763
221 Apple Lane;2006-12-16;0.05723
222 Orange Avenue;2006-12-16;0.05723
223 Cherry Lane;2006-12-16;0.05723
224 Grape Street;2006-12-16;0.05723
225 Banana Boulevard;2006-12-16;0.05723
221 Apple Lane;2006-12-16;0.0561
222 Orange Avenue;2006-12-16;0.0561
223 Cherry Lane;2006-12-16;0.0561
224 Grape Street;2006-12-16;0.0561
225 Banana Boulevard;2006-12-16;0.0561
221 Apple Lane;2006-12-16;0.05673
222 Orange Avenue;2006-12-16;0.05673
223 Cherry Lane;2006-12-16;0.05673
224 Grape Street;2006-12-16;0.05673
225 Banana Boulevard;2006-12-16;0.05673
221 Apple Lane;2006-12-16;0.05637
222 Orange Avenue;2006-12-16;0.05637
223 Cherry Lane;2006-12-16;0.05637
224 Grape Street;2006-12-16;0.05637
225 Banana Boulevard;2006-12-16;0.05637
221 Apple Lane;2006-12-16;0.06027
222 Orange Avenue;2006-12-16;0.06027
223 Cherry Lane;2006-12-16;0.06027
224 Grape Street;2006-12-16;0.06027
225 Banana Boulevard;2006-12-16;0.06027
221 Apple Lane;2006-12-16;0.05793
222 Orange Avenue;2006-12-16;0.05793
223 Cherry Lane;2006-12-16;0.05793
224 Grape Street;2006-12-16;0.05793
225 Banana Boulevard;2006-12-16;0.05793
221 Apple Lane;2006-12-16;0.05657
222 Orange Avenue;2006-12-16;0.05657
223 Cherry Lane;2006-12-16;0.05657
224 Grape Street;2006-12-16;0.05657
225 Banana Boulevard;2006-12-16;0.05657
221 Apple Lane;2006-12-16;0.05667
222 Orange Avenue;2006-12-16;0.05667
223 Cherry Lane;2006-12-16;0.05667
224 Grape Street;2006-12-16;0.05667
225 Banana Boulevard;2006-12-16;0.05667
221 Apple Lane;2006-12-16;0.0569
222 Orange Avenue;2006-12-16;0.0569
223 Cherry Lane;2006-12-16;0.0569
224 Grape Street;2006-12-16;0.0569
225 Banana Boulevard;2006-12-16;0.0569
221 Apple Lane;2006-12-16;0.0572
222 Orange Avenue;2006-12-16;0.0572
223 Cherry Lane;2006-12-16;0.0572
224 Grape Street;2006-12-16;0.0572
225 Banana Boulevard;2006-12-16;0.0572
221 Apple Lane;2006-12-16;0.05697
222 Orange Avenue;2006-12-16;0.05697
223 Cherry Lane;2006-12-16;0.05697
224 Grape Street;2006-12-16;0.05697
225 Banana Boulevard;2006-12-16;0.05697
221 Apple Lane;2006-12-16;0.05653
222 Orange Avenue;2006-12-16;0.05653
223 Cherry Lane;2006-12-16;0.05653
224 Grape Street;2006-12-16;0.05653
225 Banana Boulevard;2006-12-16;0.05653
221 Apple Lane;2006-12-16;0.05657
222 Orange Avenue;2006-12-16;0.05657
223 Cherry Lane;2006-12-16;0.05657
224 Grape Street;2006-12-16;0.05657
225 Banana Boulevard;2006-12-16;0.05657
221 Apple Lane;2006-12-16;0.05657
222 Orange Avenue;2006-12-16;0.05657
223 Cherry Lane;2006-12-16;0.05657
224 Grape Street;2006-12-16;0.05657
225 Banana Boulevard;2006-12-16;0.05657
221 Apple Lane;2006-12-16;0.05677
222 Orange Avenue;2006-12-16;0.05677
223 Cherry Lane;2006-12-16;0.05677
224 Grape Street;2006-12-16;0.05677
225 Banana Boulevard;2006-12-16;0.05677
221 Apple Lane;2006-12-16;0.057
222 Orange Avenue;2006-12-16;0.057
223 Cherry Lane;2006-12-16;0.057
224 Grape Street;2006-12-16;0.057
225 Banana Boulevard;2006-12-16;0.057
221 Apple Lane;2006-12-16;0.05697
222 Orange Avenue;2006-12-16;0.05697
223 Cherry Lane;2006-12-16;0.05697
224 Grape Street;2006-12-16;0.05697
225 Banana Boulevard;2006-12-16;0.05697
221 Apple Lane;2006-12-16;0.05703
222 Orange Avenue;2006-12-16;0.05703
223 Cherry Lane;2006-12-16;0.05703
224 Grape Street;2006-12-16;0.05703
225 Banana Boulevard;2006-12-16;0.05703
221 Apple Lane;2006-12-16;0.05553
222 Orange Avenue;2006-12-16;0.05553
223 Cherry Lane;2006-12-16;0.05553
224 Grape Street;2006-12-16;0.05553
225 Banana Boulevard;2006-12-16;0.05553
221 Apple Lane;2006-12-16;0.05527
222 Orange Avenue;2006-12-16;0.05527
223 Cherry Lane;2006-12-16;0.05527
224 Grape Street;2006-12-16;0.05527
225 Banana Boulevard;2006-12-16;0.05527
221 Apple Lane;2006-12-16;0.05557
222 Orange Avenue;2006-12-16;0.05557
223 Cherry Lane;2006-12-16;0.05557
224 Grape Street;2006-12-16;0.05557
225 Banana Boulevard;2006-12-16;0.05557
221 Apple Lane;2006-12-16;0.05437
222 Orange Avenue;2006-12-16;0.05437
223 Cherry Lane;2006-12-16;0.05437
224 Grape Street;2006-12-16;0.05437
225 Banana Boulevard;2006-12-16;0.05437
221 Apple Lane;2006-12-16;0.05793
222 Orange Avenue;2006-12-16;0.05793
223 Cherry Lane;2006-12-16;0.05793
224 Grape Street;2006-12-16;0.05793
225 Banana Boulevard;2006-12-16;0.05793
221 Apple Lane;2006-12-16;0.06033
222 Orange Avenue;2006-12-16;0.06033
223 Cherry Lane;2006-12-16;0.06033
224 Grape Street;2006-12-16;0.06033
225 Banana Boulevard;2006-12-16;0.06033
221 Apple Lane;2006-12-16;0.06017
222 Orange Avenue;2006-12-16;0.06017
223 Cherry Lane;2006-12-16;0.06017
224 Grape Street;2006-12-16;0.06017
225 Banana Boulevard;2006-12-16;0.06017
221 Apple Lane;2006-12-16;0.06077
222 Orange Avenue;2006-12-16;0.06077
223 Cherry Lane;2006-12-16;0.06077
224 Grape Street;2006-12-16;0.06077
225 Banana Boulevard;2006-12-16;0.06077
221 Apple Lane;2006-12-16;0.06023
222 Orange Avenue;2006-12-16;0.06023
223 Cherry Lane;2006-12-16;0.06023
224 Grape Street;2006-12-16;0.06023
225 Banana Boulevard;2006-12-16;0.06023
221 Apple Lane;2006-12-16;0.0568
222 Orange Avenue;2006-12-16;0.0568
223 Cherry Lane;2006-12-16;0.0568
224 Grape Street;2006-12-16;0.0568
225 Banana Boulevard;2006-12-16;0.0568
221 Apple Lane;2006-12-16;0.05647
222 Orange Avenue;2006-12-16;0.05647
223 Cherry Lane;2006-12-16;0.05647
224 Grape Street;2006-12-16;0.05647
225 Banana Boulevard;2006-12-16;0.05647
221 Apple Lane;2006-12-16;0.0562
222 Orange Avenue;2006-12-16;0.0562
223 Cherry Lane;2006-12-16;0.0562
224 Grape Street;2006-12-16;0.0562
225 Banana Boulevard;2006-12-16;0.0562
221 Apple Lane;2006-12-16;0.05617
222 Orange Avenue;2006-12-16;0.05617
